brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
DELL,Intel,Core i3,8,0,1024,Casual,43800
Lenovo,Intel,Core i3,8,0,1024,Casual,38990
ASUS,Intel,Core i3,4,0,1024,ThinNlight,34990
ASUS,Intel,Core i3,8,0,1024,Casual,38900
DELL,Intel,Core i3,4,0,1024,ThinNlight,39990
DELL,Intel,Core i3,4,0,1024,Casual,40890
Lenovo,Intel,Core i3,4,0,1024,ThinNlight,36990
HP,Intel,Core i3,4,0,1024,ThinNlight,39990
HP,Intel,Core i3,4,0,1024,ThinNlight,41990
DELL,Intel,Core i3,4,0,1024,Casual,43970
HP,Intel,Core i3,4,0,1024,ThinNlight,39790
ASUS,Intel,Core i3,4,0,1024,ThinNlight,35590
HP,Intel,Core i3,4,0,1024,ThinNlight,36490
ASUS,Intel,Core i3,4,0,1024,ThinNlight,38990
ASUS,Intel,Core i3,4,0,1024,ThinNlight,33990
DELL,Intel,Core i3,4,0,1024,Casual,43400
ASUS,Intel,Celeron Dual,4,0,512,Casual,24990
HP,Intel,Core i3,4,0,1024,ThinNlight,40750
DELL,Intel,Core i3,4,0,1024,ThinNlight,43000
ASUS,Intel,Core i3,4,0,1024,Casual,38000
DELL,Intel,Core i3,8,0,1024,ThinNlight,37990
HP,Intel,Core i3,8,0,1024,Casual,49279
Lenovo,Intel,Core i3,8,0,1024,Casual,38999
ASUS,Intel,Core i3,8,0,1024,Casual,41500
acer,Intel,Core i3,4,0,1024,Casual,36999
DELL,Intel,Core i3,8,0,1024,Casual,42900
ASUS,Intel,Celeron Dual,4,0,512,Casual,21490
DELL,Intel,Core i3,8,0,1024,Casual,41480
ASUS,Intel,Core i3,8,0,1024,Casual,32990
ASUS,Intel,Core i3,8,0,1024,Casual,38680
ASUS,Intel,Celeron Dual,4,0,512,Casual,23990
DELL,Intel,Core i3,8,0,1024,ThinNlight,40390
ASUS,Intel,Core i3,4,0,1024,ThinNlight,33990
ASUS,Intel,Celeron Dual,4,0,512,Casual,20490
DELL,Intel,Core i3,8,256,1024,ThinNlight,41490
DELL,Intel,Core i3,8,256,1024,Casual,45490
DELL,Intel,Core i3,8,256,1024,Casual,44490
ASUS,Intel,Core i3,8,256,1024,Casual,41890
DELL,Intel,Core i3,4,256,1024,ThinNlight,42990
acer,Intel,Core i3,8,256,1024,Casual,40990
DELL,Intel,Core i3,8,256,1024,ThinNlight,48990
DELL,Intel,Core i3,4,256,1024,ThinNlight,43590
DELL,Intel,Core i3,4,256,1024,Casual,44690
ASUS,Intel,Core i3,4,256,1024,Casual,40990
DELL,Intel,Core i3,4,256,1024,ThinNlight,43990
DELL,Intel,Core i3,4,256,1024,ThinNlight,43590
DELL,Intel,Core i3,4,256,1024,ThinNlight,41390
DELL,Intel,Core i3,4,256,1024,ThinNlight,44290
DELL,Intel,Core i3,4,256,1024,Casual,48999
DELL,Intel,Core i3,4,256,1024,ThinNlight,39990
DELL,Intel,Core i3,8,256,1024,ThinNlight,46390
ASUS,Intel,Celeron Dual,4,0,512,Casual,18990
ASUS,Intel,Celeron Dual,4,0,512,Casual,17990
HP,Intel,Celeron Dual,4,0,512,Casual,26470
HP,Intel,Celeron Dual,4,0,512,Casual,27990
Lenovo,Intel,Celeron Dual,4,0,1024,Casual,29999
Lenovo,Intel,Celeron Dual,4,0,512,Casual,25990
Lenovo,Intel,Celeron Dual,4,0,512,Casual,16990
Lenovo,Intel,Celeron Dual,4,0,512,Casual,24990
acer,Intel,Core i5,4,0,512,Casual,99990
acer,Intel,Core i5,8,0,512,Casual,50990
acer,Intel,Core i5,8,0,512,Casual,119990
acer,Intel,Core i5,8,0,512,Casual,94190
ASUS,Intel,Core i5,8,0,512,Casual,106167
DELL,Intel,Core i5,8,0,512,Casual,68090
DELL,Intel,Core i5,8,0,512,ThinNlight,139990
HP,Intel,Core i5,8,0,512,ThinNlight,55990
HP,Intel,Core i5,8,0,512,Casual,102551
lenovo,Intel,Core i5,8,0,512,Casual,72990
